content,score
"É um aplicativo muito útil. Porém, recentemente está com vários problemas na hora de comprar em mercados. Fecha do nada (obrigando o usuário a refazer o pedido), tira itens que inserimos no carrinho sem aviso prévio (antes de pedir a compra) e quando o preço atualiza, em vez de alterar o valor em automático, força o usuário a retirar o item do carrinho e inserir de novo. A experiência está quase tão demorada quanto ir presencialmente ao mercado. Tentarei pelo PC na próxima.",1
"Estou tendo problemas com cupons, toda vez que aparece promoção de cupom, por exemplo "" tudo por 0,99"" simplesmente mostra que não há opção pro meu endereço, mas já mudei até o endereço várias vezes e mesmo assim continua esse erro, e são várias vezes que isso já aconteceu. A pior parte é que não consegui achar nenhum dado pra suporte :/",1
"Quase não uso; e quando uso, me decepciona. 1h30m selecionando as coisas do mercado para o app fechar do nada e sumir com a lista toda, nem para salvar em cache ou algum sistema de buffering. Um outro detalhe... O app também é muito ""poluído"" visualmente e deveria ser mais visível quando o estabelecimento está fechado. Grato pela atenção.",1
"O app não está funcionando corretamente. Qualquer item que precisa ser pesado, carnes, pães e verduras, trava o aplicativo com uma mensagem que os itens de balança não permitem entrega rápida. A opção de selecionar a entrega é uma das últimas, mas ao selecionar o item que precisa ser pesado essa mensagem já aparece. Outro ponto é que no menu mercados aparece uma opção de entrega rápida, mas após selecionar um item aparece a mensagem que a entrega rápida não está mais disponível e o app trava.",1
"Informações do produto e imagens sem clareza. A lojas agem e cancelam os pedidos como convier, não respeitam os clientes. Nesses momentos não podemos avaliar as mesmas, e fica sem penalidade. Nos mercados o controle de mercadoria tem um péssimo funcionamento com o app, após a compra muita mercadoria fora do estoque. A logística é falha e morosa. Algumas experiências positivas, mas as negativas foram superiores. É preciso uma seleção mais qualitativa das lojas. Funcionamento atual medíocre.",1
"O novo layout tá horrível, além de toda hora sair da tela inicial e pra opções de farmácia ainda removeram os filtros da tela inicial, eu que era acostumado a usar o app tenho que reaprender a usar tudo denovo ou seja as mudanças não facilitou em nada a experiência do usuário. Os restaurantes próximos, modos de pagamento etc que era fácil de filtrar agora tá em sei lá onde.",1
"Ifood a cada atualização dificulta e restringe as buscas para quem utiliza vales alimentação. Agora só é possível filtrar por esta forma de pagamento, se você realizar alguma busca antes, o que restringe bastante os resultados. Realmente estar numa posição de quase monopólio acaba por prejudicar os usuários uma vez que não há opção que realmente concorra.",1
"Desde o começo de julho os filtros não aparecem mais na página inicial, o que tem dificultado bastante o uso do app. Dá até um desanimo de pedir algo agora já que na pagina inicial não da pra ordenar os restaurantes por metodo de pagamento, por avaliação, etc. Isso realmente atrapalha a escolha e a descoberta de novos lugares pra comer. Péssimo. Espero que essa atualização não dure.",1
"O ifood já foi bom. Em questões de cupons e descontos, o ifood te pune por ser cliente fiel, no início apareciam vários, mas, atualmente, só aparecem as propagandas do clube ifood, que nada mais é do que pagar pra ter cupom de no máximo 10 reais, o que muitas vezes cobre apenas o frete aqui onde moro. Nas últimas atualizações removeram os filtros da tela inicial, o que impede as buscas por restaurantes com tele grátis ou que atendam determinados tipos de pagamento.",1
"Deveria ter uma interface só para Mercado. Aplicativo extremamente lento, fornecedores atualizando preços em tempo real. Ao trocar de tela não mantém os itens no carrinho precisa fazer tudo de novo, pois não dá tempo de salvar lista e quando se consegue salvar os preços estão alterados, pois não mantém os preços promocionais; necessário remover o item e acrescentar novamente. Cliente precisa ficar atento, caso contrário vai pagar mais caro sem perceber. Atenciosamente. Maria",1
"Nao consigo pagar pela carteira, coloquei dinheiro lá e não tem como pagar por ela. O app da erro e só aceita pagamentos com cartão de crédito. Tento ligar pro n° disponível no Google, cai caixa de mensagem. No app o "" me ajuda"" só envia solicitações de sugestão. Não tem como falar com alguém. E o chat online no Google o boot só aceita funções para cadastro de novos fornecedores, e não entende quando digito algo sobre problemas de pagamento. Resolve isso. Quero retorno....!!!!!!!",1
"Se você tem planos de fazer uma boa compra de mercado, nem tente! O aplicativo não suporta um carrinho cheio, a partir de 60 itens já começa o travamento até não funcionar mais, você ter que reiniciar o aplicativo e perder seu carrinho! Já tentei em 2 aparelhos diferentes, e o final é o mesmo.",1
"Empresa imunda, some com o saldo da sua carteira! Cuidado ao usarem esse app, se colocarem um giftcard e deixarem saldo para fazer a compra em algum momento que achar oportuno, pode ter uma surpresa. Segundo eles, passou de 90 dias com saldo, eles se acham no direito de meter a mão no de crédito! Fica o alerta.",1
"Estou a 2 dias tentando comprar comida porém não fecha! Aparece a mensagem forma de pagamento indisponível, eu altero a forma de pagamento e vem a mesma mensagem ou seja um bug muito do chato que me deixou na mão pq comprei cupons pra usar porém o aplicativo está com ""defeito"" e eu não consigo fechar nada ! Sinceramente uma decepção!",1
"Não estou conseguindo fazer pedidos. Não mudei nada na minha conta, nem forma de pagamento, e de uma hora pra outra fica dando mensagem de erro de comportamento suspeito. Tentei pedir suporte pelo app mas só recebo mensagens automáticas que não ajudam em nada. App e atendimento: decadentes!",1
"Absolutamente patético. Além de nunca haver qualquer resposta a reclamações, como os frequentes casos de entregas que desaparecem ou debitos duplos, agora a iFood decidiu que não aceita mais cartões e magicamente nenhum lugar aceita pagamento na entrega. Ou seja, ou é Nubank ou é com o cartão deles. Ninguém nunca esperava nada da iFood, mas ela tem a incrível habilidade de piorar sempre que possível. Minha dica: Usem os apps dos próprios estabelecimentos, a maioria tem seu próprio hoje em dia.",1
"Mal feito. Vc assina o clube pra ter descontos e põe crédito no app, mas só pode usufruir dos cupons se pagar com GooglePay, não faz sentido. Fora que é impossível deixar as notificações ligadas, mandam notificações a cada 10 minutos, como se a pessoa fosse ficar o dia inteiro pedindo entregas, se desativar vc não sabe quando a entrega vai chegar quando vc realmente pedir.",1
"Para restaurantes funciona bem, porque são sempre pedidos pequenos. Mas para mercados estou tentando a uma semana fazer as compras do mês, e não consigo de jeito nenhum. Perco cerca de duas horas colocando os itens na sacola, e quando estou finalizando as compras o aplicativo fecha e perde todo o trabalho. Já passei por isso umas 12 vezes está semana, sem nunca conseguir finalizar. Pior é que dá a opção de salvar a lista de compras, mas só pra dar falsa esperança, pois não tem como carrega-la.",1
"Pra mercado não serve, o aplicativo fecha se demorar e quando retorna não salva o que já estava na sacola e se salvar a lista não salva o que está na promoção, se conseguir sempre vem faltando algum item e dá aquela dor de cabeça pra pedir estorno. Melhor fazer direto no aplicativo do mercado que além de ser mais barato o aplicativo e o atendimento é melhor.",1
"O aplicativo tem dado alguns erros (não só na minha conta e no meu celular, mas com minhas amigas também). Erros como: permitir a realização de pedidos de lancheria que não está aberta, não permitir que a lancheria coloque que algum item está em falta, dificuldade em trocar mensagens com a lancheria, é bem chato para alterar o endereço de entrega.....",1
"Fiz um pedido e o almoço com refrigerante veio em o refrigerante. O pedido foi pago o restaurante não atendeu o chat e não atendeu a ligação telefônica e o ifood não tem opção osra extorno nem nenhuma opção para ajudar o cliente que não seja fazendo contato gom o restaurante. Graças ao aplicativo ifood fiquei com o prejuízo. O problema em si, nem é o valor, mas sim a sensação de ser enganado. Obrigado ifood pela péssima experiência. Deveria selecionar melhor os restaurante da plataforma.",1
"Ifood começou a fazer safadeza já. A loja está informando que a taxa de entrega é grátis e vai tudo certo, mas na hora de fazer o pagamento estão acrescentando taxa, sendo que já foi informado que a taxa é grátis. E outra, o cupom de promoção cobrou normalmente em meu cartão no mês passado, mas não obtive nenhum cupom. E eles não me deram nenhuma resposta quanto a isso, por isso cancelei, o próximo passo será desinstalar.",1
"Se eu pudesse dava zero! Por duas vezes que fiz pedido a dois restaurantes e um veio todo virado o prato pedi reembolso, foi negado. O outro a mesma coisa, (ontem) sem plástico filme, todo lambuzado, comida fria, pois, demorou quase 2h a entrega e o restaurante fica a 800m da minha casa. Pedi reembolso, negado! Só por ser um super restaurante. Total descaso com o cliente. De que vale o direito do consumidor?????????",1
"De um tempo para cá só dá problemas, não reconhece o endereço cadastrado nem a localização, não abre a opção de restaurantes, tampouco permite que faça pedidos. Por mais que atualize o aplicativo, a única informação que aparece é que está fora do ar, e manda tentar outra vez.",1
"Fiz mais de um pedido de mercado, ambos de redes grandes, poucos itens básicos, de marcas conhecidas, desses itens que todo mercado tem aos milhares. Só que tudo é lindo na teoria. ""Seu pedido já está em preparação"". HORAS depois, quando já não há mais tempo de resolver de outra forma, parabéns mané, ""seu pedido foi cancelado"". Não foi uma única vez. E na última, o cancelamento me trouxe um transtorno grande. Então, se o serviço não cumpre a única coisa que promete, uma estrela já é muito.",1
"Péssima experiência. Mesmo antes do restaurante confirmar seu pedido eles já retiram seu dinheiro, e se o restaurante cancela, não devolvem o dinheiro da maneira q vc pediu, no meu caso em saldo do ifood. Fazem a devolução ao banco prometendo reembolso em 36h, o q nunca é cumprido, e depois dizem q depende do banco, problema no sistema, etc. Minha experiência tem sido péssima, pois mesmo q eu consiga fazer o pedido, as vezes vem errado/faltando e tenho q solicitar reembolso e é sempre palhaçada",1
"Tive uma péssima experiência com o aplicativo, fiz um pedido, o motoboy foi para o endereço errado, expliquei como ele chegava até a minha residência, pois o endereço que estava no aplicativo era o correto ele simplesmente ignorou e cancelou a entrega, além de não receber meu pedido ainda perdi dinheiro, pois não obtive reembolso isso se torna uma experiência horrível e espero que o aplicativo melhore seu funcionamento .",1
"Muito cuidado com esse app do Ifood, são tantas quadrilhas que surgem no estado de São Paulo que possivelmente mais uma está agindo nessa plataforma aplicando golpes em seus clientes, os pedidos nunca chegam, não aceitam atender o cancelamento a pedido do cliente ou seja seu dinheiro fica perdido e o problema nunca é resolvido, Ifood deixou de ser uma empresa seria para ser mais uma plataforma de aplicar golpes... Muito cuidado quando for escolher esse app para fazer um pedido...",1
"Simplesmente do nada não consigo mais fazer compras de mercado. Coloquei crédito com cartão de crédito e tentei em menos de 24h fazer compras de mercado. Nas duas vezes atrasou mais de 3h após os produtos saírem pra entrega e o entregador nunca chegava estando sempre em "" fazendo outras entregas"" e cancelando. Sempre fiz mercado no Ifood mas aconteceu algo que ou tem entregador de menos ou estão tentando me dar golpe. O pior é que preciso encher minha geladeira. Quero comprar mas não consigo.",1
"Alteraram o layout e ficou um lixo. Eu preferia quando o resumo de valores ficava já na sacola, embaixo da lista de itens. Essa mudança já me trouxe prejuízos. Em vez de facilitarem, só complicam.",1
"Eu estava muito satisfeita até pouco tempo, as compras que fazia nos mercados vinham certinhas, agora elas sempre vem faltando item, tenho que ficar solicitando reembolso, dão um prazo de 30 dias para retornar para o cartão, sendo que tem quase 200$ parados meu com o Ifood. Se eu pedi algo é pq preciso. Se vcs não tem, arrumem no sistema, e se tiver que reembolsar os clientes que pagaram antes de receber, então que devolvam na hora tbm. Totalmente inaceitável isso.",1
"O aplicativo é bom, mas porém quando fazemos a compra no cartão do crédito não pedem o código de segurança do cartão, e outra pessoa não sei como, conseguiu raquear no aplicativo do Ifood meu cartão e fez compras pelo aplicativo, isso é muito constrangedor, acredito que seria bom mudarem isso para melhor segurança dos clientes.",1
"Aplicativo bom, quando tudo da certo e o dinheiro deles está garantido. Se tiver algum problema com o pedido, eles deixam de ser um bom aplicativo, se esquivando de responsabilidades. Fiz um pedido no mcdonald's, veio o sanduíche com problema, e estornaram apenas o valor do sanduíche, sendo que o pedido é um combo. Fácil ganhar dinheiro assim, mostra a índole da empresa.",1
"Há uma falha de segurança enorme no app, eu troquei recentemente de número de telefone e fui editar os dados, mudar o número do antigo para o atual, mas apenas consegui mudar o número nos dados de contato, pois o app não permite que o número seja mudado nos dados de acesso à minha própria conta, então quer dizer que o novo usuário do meu número de telefone antigo pode logar no Ifood e ter acesso a minha conta e meus dados? E fora isso tudo ainda não há como o cliente entrar em contato com o app",1
"Mal comecei a utilizar e já estou enfrentando problemas no app. Fui tentar realizar o pagamento online no app e deu erro, estava escrito o seguinte aviso: ""o pagamento na entrega está indisponível no momento"". Fiquei bem decepcionada porque era minha primeira vez indo pedir no ifood e já aconteceu isso, não recomendo. Muito bugado.",1
"Toda vez que ocorre algum problema com pedido na qual não conseguimos resolver diretamente com a loja, o Ifood não resolve nada! Nao tem contato com ninguém, não consigo resolver nada, tá bem decepcionante fazer pedidos pelo aplicativo, sugiro uma melhoria nessa questão, impossível de cancelar um pedido e o aplicativo não me ajuda a resolver e não devolve meu dinheiro. Péssimo!",1
"Apressando diversoa problemas, um deles é sobre o meu saldo que coloquei no iffod e não consigo gastar e muito menos retirar, procurei ajuda assim como muitos, e o atendimento foi de precária qualidade e relevância, do jeito que tá, tá roubando mais que jogos de azar.",1
"Enganaram-me em relação aos cupons de desconto, por exemplo, cupom de 10 reais, mas na hora de passar a compra (finalizar), os valores são modificados para um valor inferior ao previsto no cupom, ou seja, uma fraude. Não recomendo comprar os cupons, pois a empresa acha que somos mal instruídos academicamente, só pode. Além de uma situação esquisita que percebi, ao comprar um ""pack"" de cupons, de 10 cupons, por exemplo, em uma compra normal somem mais de um por vez, isso reiteradamente.",1
"Horrível. Uma falsa ideia de vantagens, sendo que quando vc quer usar essas vantagens inventam todo tipo de motivo pra recusar. Só pq usei um cupom que utilizo sempre, e coloquei pra retirar o pedido pq é quase ao lado da minha casa, recusaram por comportamento atípico, sendo que eu APENAS não queria pagar o frete tbm pq não vale a pena por ser tão perto. Ridículos! Atendimento lixo. Estou desinstalando o app e só vou pedir agora por outra plataforma.",1
"Experiência terrível que tive com esse aplicativo, um mercado deixou de enviar uma encomenda, faltando quase 100 reais de compra... Tentei entrar em contato com suporte de apoio do Ifood, me ignoraram e simplesmente finalizaram a conversa, o restaurante roubou meu dinheiro e essa plataforma não fez nada a respeito, sendo sincero não recomendo a ninguém fazer compras de alto custo nesse aplicativo, que provavelmente seu dinheiro não vai ser retornado!!!! Prática abusiva e roubo",1
"O app era muito bom antes, eu indicava pra várias pessoas falava muito bem dele, porém hoje em dia já não indico mais, e ainda falo que não é muito bom, a opção de ajuda não funciona acontece alguma coisa com o pedido e com o pagamento,você tenta pedir ajuda e não tem ninguém pra te ajudar pra te informar oque fazer e você acaba perdendo o pedido e o pagamento também... hoje em dia falo que este app está péssimo pra usar .",1
"O app tem um botão de REVISAR PEDIDO. Mas quando você aperta esse botão o app conclui o.pedido e debita do seu cartão. Pela segunda vez o app me cobrou um pedido que eu não queria fazer. Eu queria revisar os itens da sacola, adicionar cupom, colocar observação. REVISAR PEDIDO não pode concluir o pedido. Vocês induzem os clientes ao erro e tiram dinheiro dos clientes assim.",1
"O aplicativo se tornou um desserviço. Várias vezes tive problema com meus pedidos nos últimos meses. O atendimento está péssimo. Fiz um pedido ontem que não foi entregue e depois de 5 horas foi marcado como concluído, mesmo comigo implorando pra ser atendido tanto pelo restaurante quanto pelo ifood. Até agora não consegui reembolso.",1
"O aplicativo é especialista em propaganda enganosa. Aparecem promoções, a gente fica um tempão fazendo o pedido e quando vai fazer o pagamento, a promoção some ou o ifood não aceita a forma de pagamento, aí a gente troca a forma de pagamento e mesmo assim não aceita e diz que a promoção não atende os requisitos. Uma vergonha! Vcs deveriam tomar um bom processo pra parar de oferecer promoção que não existe!",1
"Desde sábado tento comunicação com vocês, meu pedido não foi entregue, já foi descontado do meu cartão... Atualização: Fui no atacadão eles foram super atenciosos no atendimento, resolveram o problema na hora, ao contrário do ifood que não respondeu nada até agora, lamentável, a minha dica é: não compre supermercado no ifood, pois se der algo errado, ou faltar pedidos, eles não vão resolver, vão ficar no prejuízo.",1
"Já pedimos por várias empresas que não entregam no tempo, não há a opção de cancelar o pedido e o atendimento além de demorado não resolve seu problema, fora cupons e promoções ordinárias que não cobrem nem a taxa de entrega, então entre esse app e pedir no lugar, eu recomendo ir no próprio restaurante ou fazer em casa porque pelo menos tem menos transtorno",1
"Eu não entendo pq mesmo estando nos meu direitos o aplicativo não aceita cancelar um pedido por causa desse problema tive um transtorno onde perdi 54 reais e simplesmente nada aconteceu o prejuízo foi meu e pronto eu vou correr atrás de todas as formas que forem possíveis pra que isso não se repita com outras pessoas,pq se o aplicativo permitisse cancelar nada teria acontecido já tinha passado do tempo de entrega ...",1
"Faz 2 meses que não estou conseguindo acessar o app. Desinstalei e instalei diversas vezes. Para habilitar o aplicativo pede o código e dá erro todas as vezes, e como se não fosse mais compatível com meu celular. Tentei instalar também pelo da minha esposa e dá o mesmo erro. Sou cliente assíduo, mas não entendo motivo de não conseguir utilizar mais.",1
"Não sei o que está acontecendo com o aplicativo ultimamente mas toda vez que entro não carrega a página, não aparece nada, pode ligar e desligar a internet, entrar e sair do aplicativo que continua a mesma coisa.",1
"Péssimo atendimento. O atendimento é horrível, demorado, não pensam no cliente e com respostas padronizadas. Antes que respondam aqui como: indique o que aconteceu, busquem meu histórico nas mensagens com vocês. Se precisarem de atendimento do ifood, esqueçam, péssima experiência. Se pudesse daria zero estrelas",1
"Minhas últimas experiências tem sido PÉSSIMAS com os restaurantes selecionados... Motoboy que não entrega o pedido, restaurante que fecha sem avisar, pedidos com itens faltando. Cada dia é uma surpresa nova e o suporte do Ifood, ao invés de melhorar, parece que está cada vez pior: Mais demorado para responder e, por vezes, nem resolvendo o problema. Eu era uma usuária assídua e amava o CX do app, mas do último mês para cá estou quase desinstalando.",1
"Está péssimo esse app. Não consigo reinstalar, o código de verificação dá erro de envio em qualquer opção selecionada(e-mail, Facebook ,SMS ou celular). Agora simplesmente não consigo ter mais acesso mesmo seguindo as orientações de limpar cache. Decepcionante!!!",1
"Eu paguei meu pedido! Revisei tudo! Para só ter falado que foi agendado pois o estabelecimento estava ainda fechado depois! Não consegui cancelar e ainda perdi meu dinheiro! Fui então comprar outro produto e estou até agr, quase 2horas esperando o ifood disponibilizar o motoboy pro estabelecimento, agora o estabelecimento será prejudicado por falta de responsabilidade de cumprir a palavra!!!",1
"Quando o carrinho de mercado está muito cheio, com muitos itens, o App começa a ficar muito lento até travar. Quando trava, tem de fechar o App. Quando retorna, ele não salvou o carrinho e é preciso fazer a compra novamente. Muitas vezes nem faço e vou ao mercado físico. Vale ver este problema, é recorrente ao menos comigo. (Atualizando, tive de reinstalar o App pois não funcionava mais. Agora, não consigo nem efetuar login. Vi clientes reportando o mesmo problema do App travar.)",1
"O app é muito bom...mas alguns parceiros...15/11 fiz uma compra pelo app no mercado ""Atacadão""indianopolis...entrega rápida mas em compensação me entregaram tudo revolvido...amassado...alface passada...panetone amassado...uva aberta e amassada...produto faltando...até avisaram q o produto acabou...mas não devolveram a diferença do que faltou...muito ruim mesmo...não recomendo!!!",1
"Simplesmente não consigo fazer compra de supermercado. Vou adicionando os produtos no carrinho e quando chega perto de R$300 o App fecha e perco tudo. Alem disso, precisa melhorar o carrinho do supermercado!! É extremamente frustrante ter já adicionado uma série de produtos e perder tudo. Ele precisa ficar salvo mesmo fechando e abrindo o app novamente. Tem 3 dias que estou tentando fazer uma compra e não consigo.",1
"Aqui na minha região tem bastante restaurantes, porém só lanche e pizza. Não tem variedades. Além disso, o atendimento para resolver quaisquer problemas É PÉSSIMO. É igual ao atendimento aos aplicativos da CAIXA. Já perdi dinheiro com falhas na transação ao qual o iFood nunca me respondeu. Não confio mais em pagar ANTES de receber.",1
"O Ifood ficou com 70 reais meu e não me reembolso,fiz compra em supermercado pelo app e o pedido veio faltando as carnes ,reportei o problema e o app simplismente não aprovou a devolução do meu dinheiro .nao consigo nem entrar em contato pelo app,deixei de usar o aplicativo pois não ando achando dinheiro em árvores pra deixar assim,fiquei super revoltada pois nunca imaginei q o Ifood não devolveria meu dinheiro. O valor super alto pra mim e ficou de graça para empresa,um absurdo.",1
"O aplicativo tem o intuito de ser fácil e prático. Mas quando você recebe pedidos errados é muito difícil de receber o dinheiro de volta. Recebi um pedido errado duas vezes, pedi meu dinheiro de volta para o restaurante e para receber tenho que entrar em contato com o SAC que demora muito para resolver. Nunca mais peço nada pelo Ifood e exclui o APP.",1
"Pela primeira vez em anos de uso tive um problema com um cupom, tentei resolver pelo atendimento, infelizmente fui tratado com descaso, o valor era pequeno, mas agora tenho certeza que se fosse grande provavelmente a situação seria a mesma. Torço para que ninguém tenha problemas com esse aplicativo, porque se tiver, saiba que não conseguirá resolver. Enfim, desinstalo hoje o aplicativo, com tristeza, porque foram muitos anos de uso.",1
"Sempre usei o aplicativo, no dia 11/11/23 ele nao carrega desinstalei e instalei novamente, sendo que agora não consigo loga mais no app, sempre aparece a mensagem ""tivemos um problema por aqui"", bao há um meio que possa entrar em contato, foi adquirido cupons que estou a perder os dias. Suporte ao cliente péssimo.",1
"Estou tendo problemas tem um tempo com o aplicativo, já desinstalei várias vezes para ver se resolvia e nada. Não consigo mais entrar no aplicativo, seja como convidado ou para fazer login, sempre aparece que ocorreu um erro e como convidado não acha a localização. Todos os outros aplicativos funcionam normal, não é nenhum problema com internet ou localização. Sempre gostei e utilizei muito o aplicativo e gostaria de saber se tem algo a ser feito",1
"Faz um tempo que o app apresenta um tipo de bug nos cupons, que quando clico diz não ter nenhum restaurante selecionado para minha região ou endereço. Porém é mentira, pois quando pesquiso estabelecimentos de forma aleatório usando a mesma localização, aparecem estabelecimentos que aceitam os cupons de 5, de 10, de 12.. mas nas opções próprias de cada um deles, não aparecem nada.",1
"Péssimo! Vive dando erro não exibindo nada e com essa atualização agravou Tenho q instalar e desinstalar direto! Não recomendo!! E o meu celular é bom tem o Android mais novo, então o problema não é com o meu S.O!!!!! Estou editando para dizer que o app piorou mais ainda!!!!! Simplesmente nada carrega mais, impossível de usar! Já instalei e desinstalei e nada!!!",1
"Minha familia é usuária do aplicativo há uns 3 anos, mas de 1 ano para cá, os problemas na entrega/reembolso são cada vez mais frequentes, fui no reclame aqui, e lá vi trocentos comentários com os mesmos problemas e alguns até piores. E no final o cliente fica no prejuízo, pois o suporte inexiste, mandam apenas mensagens automáticas e na maioria das vezes não resolvem o problema. Encerrando por aqui minha conta, insisti até demais nesse aplicativo.",1
"Horrível, já precisei cancelar pedido várias vezes pq a comunicação é prejudicada por que os atravessadores do aplicativo tem medo de comprarmos direto da loja. Muito burocrático e ineficiente. Não recomendo a ninguém.",1
"Ultimamente travando muito, fica falando que está com problemas na conexão de Internet, sendo que a minha Internet é muito boa, não trava em nenhum outro APP, apenas nele. Favor corrijam isso e talvez eu altere a avaliação.",1
"To pra ver um aplicativo mais lixo que esse.. Primeiro que não deixam de forma nenhuma cadastrar um cartão, diz que o cartão é inválido, sendo q eu ja tentei vários e todos estão ativos, segundo que liberam cupom de desconto mas na hora de finalizar sempre da erro, terceiro que o atendimento consegue ser mais lixo q o app e o site, vc pede ajuda e eles insinuam q o problema é com o usuário na hr de digitar os dados do cartão. Péssimo, experiência do usuário lixo demais",1
"Tente fazer compra em Mercado com vários itens e você vai saber o que é passar raiva de verdade, vai perder tempo que daria pra ir no mercado, comprar e voltar 3 vezes. Das duas uma, incompetência dos desenvolvedores ou descaso ou o big é proposital pra fazer você pagar mais caro no final porque se não ficar atento é oqir vai acontecer",1
"Uso cartão de crédito pra pagar tudo, inclusive no Zé delivery que de certa forma é um concorrente. O único app que recusa meu pagamento via cartão é o ifood. É simplesmente ridículo. E não fazem o menor esforço pra corrigir o problema. Há meses é assim. E não: ""você pode escolher outra forma de pagamento"" como consta em ajuda não é resolver o problema. Patético!",1
O app está péssimo de 2 meses pra cá. Pra fazer compra em mercado depois dos primeiros itens no carrinho o APP para e fecha . E temq começar tudo d novo e assim sucessivamente e nunca consegue concluir a compra.,1
Péssimo! Muitos erros... Duplica itens na cesta de compras e vários outros erros que nunca são corrigidos... A equipe do app faz o quê o dia inteiro se nunca corrigem de vez os mesmos problemas?,1
O aplicativo era ótimo. Mas é absurdo o estresse que a aba mercado me deu. Refiz minhaa compras 3x por que em certos itens da loja (principalmente os de peso variável) o app simplesmente trava e perco a sacola inteira!,1
"O aplicativo está horrível, ontem fiz uma compra no BK e simplesmente não foi entregue, hoje já tem 2 horas que estou tentando novamente e eles não finalizam meu pedido, rejeitam a forma de pagamento com saldo na conta e não aceitam os meus cartões de crédito, fora que o suporte não responde né.. simplesmente horrível.",1
"Não consigo mais fazer o pagamento pelo aplicativo. Seja com cartão, pix ou saldo da carteira. Tenho dinheiro no saldo da carteira e simplesmente não consigo usar porque o aplicativo não aceita mais pagamentos feitos por ele, só pela entrega. Meus pedidos só são finalizados pelo aplicativo caso eu selecione a opção de pagamento na entrega.",1
